Sentiment,Clean_Text,label,sequence
positive,consolidated net sales increased to reach eur m while operating profit amounted to eur m compared to a loss of eur m in the prior year period,2,"[712, 30, 27, 88, 6, 926, 8, 36, 152, 37, 31, 307, 6, 8, 36, 61, 6, 7, 59, 3, 8, 36, 4, 2, 1495, 40, 43, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,foundries division reports its sales increased by to eur mn from eur mn in the corresponding period in and sales of the machine shop division increased by to eur mn from eur mn in the corresponding period in,2,"[2162, 282, 417, 16, 27, 88, 20, 6, 8, 17, 14, 8, 17, 4, 2, 81, 43, 4, 5, 27, 3, 2, 754, 1891, 282, 88, 20, 6, 8, 17, 14, 8, 17, 4, 2]"
positive,helsinki afx shares closed higher led by nokia after it announced plans to team up with sanyo to manufacture g handsets and by nokian tyres after its fourthquarter earnings report beat analysts expectations dealers said,2,"[58, 460, 52, 582, 480, 1665, 20, 65, 125, 26, 153, 279, 6, 670, 55, 19, 1, 6, 796, 583, 1666, 5, 20, 992, 993, 125, 16, 2581, 224, 173, 1, 880, 1892, 1667, 22]"
positive,incap contract manufacturing services pvt ltd a subsidiary of incap corporation of finland plans to double its revenues by,2,"[503, 64, 185, 48, 1893, 174, 7, 213, 3, 503, 73, 3, 33, 279, 6, 1160, 16, 755, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,its board of directors will propose a dividend of eur per share for up from the eur per share paid in,2,"[16, 112, 3, 283, 12, 1076, 7, 374, 3, 8, 72, 46, 9, 55, 14, 2, 8, 72, 46, 639, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,lifetree was founded in and its revenues have risen on an average by with margins in late s,2,"[3256, 32, 1161, 4, 5, 16, 755, 50, 3257, 15, 34, 1158, 20, 19, 1, 4, 1272, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,filippova a trilateral agreement on investment in the construction of a technology park in st petersburg was to have been signed in the course of the forum days of the russian economy that opened in helsinki today,2,"[1, 7, 1, 91, 15, 92, 4, 2, 89, 3, 7, 80, 671, 4, 308, 347, 32, 6, 50, 57, 143, 4, 2, 1273, 3, 2, 1, 1361, 3, 2, 284, 1668, 29, 1162, 4]"
positive,megafon s subscriber base increased in to million users as of december while its market share by the number of customers amounted to as of late up from as of late according to teliasonera estimates,2,"[2163, 10, 3258, 504, 88, 4, 6, 28, 672, 21, 3, 375, 152, 16, 51, 46, 20, 2, 155, 3, 98, 307, 6, 21, 3, 1272, 55, 14, 21, 3, 1272, 76, 6, 413, 613]"
positive,net income from life insurance doubled to eur mn from eur mn and net income from nonlife insurance rose to eur mn from eur mn in the corresponding period in,2,"[30, 481, 14, 614, 348, 1889, 6, 8, 17, 14, 8, 17, 5, 30, 481, 14, 1669, 348, 97, 6, 8, 17, 14, 8, 17, 4, 2, 81, 43, 4, 0, 0, 0, 0, 0]"
positive,net sales increased to eur m from eur m and pretax profit rose by to eur m eur usd,2,"[30, 27, 88, 6, 8, 36, 14, 8, 36, 5, 271, 31, 97, 20, 6, 8, 36, 8, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,net sales surged by to eur m teleste said that eur m or of the sales came from the acquisitions made in,2,"[30, 27, 1362, 20, 6, 8, 36, 436, 22, 29, 8, 36, 100, 3, 2, 27, 836, 14, 2, 881, 225, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,nordea group s operating profit increased in by percent yearonyear to billion euros and total revenue by percent to billion euros,2,"[243, 35, 10, 37, 31, 88, 4, 20, 69, 333, 6, 169, 175, 5, 66, 236, 20, 69, 6, 169, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,operating profit for the ninemonth period increased from eur m while net sales increased from eur m as compared to the corresponding period in,2,"[37, 31, 9, 2, 1894, 43, 88, 14, 8, 36, 152, 30, 27, 88, 14, 8, 36, 21, 61, 6, 2, 81, 43, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,operating profit for the ninemonth period increased from eur m and net sales increased from eur m as compared to the corresponding period in,2,"[37, 31, 9, 2, 1894, 43, 88, 14, 8, 36, 5, 30, 27, 88, 14, 8, 36, 21, 61, 6, 2, 81, 43, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,operating profit for the threemonth period increased from eur m while revenue increased from eur m as compared to the corresponding period in,2,"[37, 31, 9, 2, 1496, 43, 88, 14, 8, 36, 152, 236, 88, 14, 8, 36, 21, 61, 6, 2, 81, 43, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,the brazilian unit of finnish security solutions provider fsecure signed up new clients last year online news source reseller web quoted the division s commercial director vladimir brando as saying,2,"[2, 1670, 114, 3, 24, 325, 84, 263, 837, 143, 55, 41, 673, 127, 40, 461, 163, 1274, 1, 882, 1671, 2, 282, 10, 462, 264, 3259, 1, 21, 1672, 0, 0, 0, 0, 0]"
positive,the company s net profit rose on the year to million euros in on sales of million euros up on the year the company said earlier,2,"[2, 13, 10, 30, 31, 97, 15, 2, 40, 6, 28, 175, 4, 15, 27, 3, 28, 175, 55, 15, 2, 40, 2, 13, 22, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,the lithuanian beer market made up million liters in january a rise of percent from the yearearlier figure the lithuanian brewers association reporting citing the results from its members,2,"[2, 1363, 523, 51, 225, 55, 28, 640, 4, 199, 7, 756, 3, 69, 14, 2, 2164, 1275, 2, 1363, 3260, 1077, 713, 2582, 2, 360, 14, 16, 463, 0, 0, 0, 0, 0, 0]"
positive,viking line s cargo revenue increased by to eur mn and cargo volume increased by to cargo units,2,"[838, 172, 10, 641, 236, 88, 20, 6, 8, 17, 5, 641, 392, 88, 20, 6, 641, 244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,the fair value of the property portfolio doubled as a result of the kapiteeli acquisition and totalled eur million,2,"[2, 669, 104, 3, 2, 584, 552, 1889, 21, 7, 128, 3, 2, 1, 170, 5, 216, 8, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,february finnish media company sanoma oyj hel saav said yesterday its net profit almost tripled to eur m from eur m for and announced a proposal for a raised payout,2,"[245, 24, 144, 13, 437, 44, 79, 3261, 22, 505, 16, 30, 31, 839, 2583, 6, 8, 36, 14, 8, 36, 9, 5, 153, 7, 1276, 9, 7, 878, 1, 0, 0, 0, 0, 0]"
positive,a helsinki eliiv today reported eps of eur for an increase over eps of eur in,2,"[7, 58, 1, 62, 205, 246, 3, 8, 9, 34, 94, 121, 246, 3, 8, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,aspo plc stock exchange release february at am esl shipping ltd part of aspo group has signed a new longterm contract with rautaruukki corporation for the marine transport of raw materials on the baltic sea,2,"[393, 145, 109, 156, 207, 245, 25, 394, 1895, 553, 174, 118, 3, 393, 35, 18, 143, 7, 41, 457, 64, 19, 585, 73, 9, 2, 1277, 1163, 3, 612, 456, 15, 2, 253, 1078]"
positive,commission income increased by to eur mn and lending volume rose by,2,"[1164, 481, 88, 20, 6, 8, 17, 5, 2165, 392, 97, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,in january traffic measured in revenue passenger kilometres rpk went up by and capacity measured in available seat kilometres ask rose by,2,"[4, 199, 376, 2166, 4, 236, 840, 2167, 3262, 615, 55, 20, 5, 222, 2166, 4, 272, 2168, 2167, 3263, 97, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,in januaryseptember fiskars net profit went up by yearonyear to eur million and net sales to eur million from eur million,2,"[4, 841, 334, 30, 31, 615, 55, 20, 333, 6, 8, 28, 5, 30, 27, 6, 8, 28, 14, 8, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,net income from life insurance rose to eur mn from eur mn and net income from nonlife insurance to eur mn from eur mn in,2,"[30, 481, 14, 614, 348, 97, 6, 8, 17, 14, 8, 17, 5, 30, 481, 14, 1669, 348, 6, 8, 17, 14, 8, 17, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,nyrstar has also agreed to supply to talvivaara up to tonnes of sulphuric acid per annum for use in talvivaara s leaching process during the period of supply of the zinc in concentrate,2,"[3264, 18, 47, 294, 6, 208, 6, 674, 55, 6, 482, 3, 3265, 3266, 72, 2584, 9, 184, 4, 674, 10, 1, 265, 190, 2, 43, 3, 208, 3, 2, 1497, 4, 1896, 0, 0]"
positive,sales for both the department store division and hobby hall increased by while sales for the clothing store subsidiary seppala decreased by,2,"[27, 9, 161, 2, 797, 438, 282, 5, 1897, 1498, 88, 20, 152, 27, 9, 2, 753, 438, 213, 1898, 134, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,sales have risen in other export markets,2,"[27, 50, 3257, 4, 83, 1165, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,sales increased due to growing market rates and increased operations,2,"[27, 88, 285, 6, 667, 51, 927, 5, 88, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,the agreement strengthens our longterm partnership with nokia siemens networks,2,"[2, 91, 1899, 86, 457, 994, 19, 65, 675, 273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,the agreement was signed with biohit healthcare ltd the ukbased subsidiary of biohit oyj a finnish public company which develops manufactures and markets liquid handling products and diagnostic test systems,2,"[2, 91, 32, 143, 19, 798, 1499, 174, 2, 1, 213, 3, 798, 44, 7, 24, 524, 13, 49, 1364, 883, 5, 154, 995, 326, 71, 5, 1900, 1166, 150, 0, 0, 0, 0, 0]"
positive,the company also estimates the already carried out investments to lead to an increase in its net sales for from when they reached eur million,2,"[2, 13, 47, 613, 2, 295, 676, 217, 418, 6, 757, 6, 34, 94, 4, 16, 30, 27, 9, 14, 247, 209, 996, 8, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,the company s order book stood at bln euro bln on september up by pct on the year with international orders amounting to mln euro mln,2,"[2, 13, 10, 105, 1079, 884, 25, 1365, 56, 1365, 15, 171, 55, 20, 101, 15, 2, 40, 19, 242, 266, 3267, 6, 38, 56, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,the company said that paper demand increased in all of its main markets including of publication papers and that it increased average paper prices by percent compared with last year,2,"[2, 13, 22, 29, 129, 434, 88, 4, 107, 3, 16, 464, 154, 157, 3, 1901, 928, 5, 29, 26, 88, 1158, 129, 317, 20, 69, 61, 19, 127, 40, 0, 0, 0, 0, 0]"
positive,the world s second largest stainless steel maker said net profit in the threemonth period until dec surged to euro million us million or euro us per share from euro million or euro per share the previous year,2,"[2, 210, 10, 131, 212, 885, 194, 140, 22, 30, 31, 4, 2, 1496, 43, 1080, 842, 1362, 6, 56, 28, 99, 28, 100, 56, 99, 72, 46, 14, 56, 28, 100, 56, 72, 46]"
positive,within the framework of the partnership nokia siemens networks has signed an initial framework purchase agreement with sitronics subsidiary jsc mikron which is the largest manufacturer and exporter of microelectronic components in russia,2,"[616, 2, 1673, 3, 2, 994, 65, 675, 273, 18, 143, 34, 1366, 1673, 391, 91, 19, 1, 213, 3268, 1, 49, 11, 2, 212, 232, 5, 1, 3, 1, 886, 4, 123, 0, 0]"
positive,seppala s revenue increased by to eur m in finland revenue went down by to eur m while sales abroad rose by to eur m sales increased in all the baltic countries as well as in russia and ukraine,2,"[1898, 10, 236, 88, 20, 6, 8, 36, 4, 33, 236, 615, 108, 20, 6, 8, 36, 152, 27, 1278, 97, 20, 6, 8, 36, 27, 88, 4, 107, 2, 253, 177, 21, 93, 21]"
positive,shares of standard chartered stan rose in the ftse while royal bank of scotland rbs shares rose and barclays shares barc bcs were up,2,"[52, 3, 1167, 1902, 1, 97, 4, 2, 1368, 152, 1903, 74, 3, 1, 1, 52, 97, 5, 1904, 52, 3269, 3270, 77, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,shares of nokia corp rose thursday after the cell phone maker said its thirdquarter earnings almost doubled and its share of the global handset market increased,2,"[52, 3, 65, 267, 97, 617, 125, 2, 1905, 274, 140, 22, 16, 1906, 224, 839, 1889, 5, 16, 46, 3, 2, 158, 586, 51, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,in its financial report published on friday seb said its net profit soared to sek bn in from a yearearlier sek bn and proposed a dividend increase to sek per share,2,"[4, 16, 67, 173, 506, 15, 349, 2585, 22, 16, 30, 31, 1, 6, 587, 395, 4, 14, 7, 2164, 587, 395, 5, 1081, 7, 374, 94, 6, 587, 72, 46, 0, 0, 0, 0]"
positive,sales for the department store division increased by and sales for the clothing store subsidiary seppala increased by meanwhile sales for hobby hall decreased by,2,"[27, 9, 2, 797, 438, 282, 88, 20, 5, 27, 9, 2, 753, 438, 213, 1898, 88, 20, 1674, 27, 9, 1897, 1498, 134, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
neutral,at the request of finnish media company alma media s newspapers research manager jari kaivooja at the finland futures research centre at the turku school of economics has drawn up a future scenario for finland s national economy by using a model developed by the university of denver,1,"[25, 2, 2586, 3, 24, 144, 13, 350, 144, 10, 1500, 419, 507, 3271, 1, 25, 2, 33, 1, 419, 1369, 25, 2, 1279, 3272, 3, 1, 18, 1, 55, 7, 420, 1, 9, 33]"
neutral,in sweden gallerix accumulated sek denominated sales were down and eur denominated sales were up,1,"[4, 248, 2587, 1, 587, 3273, 27, 77, 108, 5, 8, 3273, 27, 77, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
neutral,the company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production,1,"[2, 13, 1168, 16, 158, 98, 4, 588, 41, 501, 5, 589, 7, 2169, 997, 14, 191, 115, 6, 396, 5, 392, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
neutral,when this investment is in place atria plans to expand into the moscow market,1,"[247, 54, 92, 11, 4, 397, 554, 279, 6, 465, 135, 2, 799, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
neutral,the new agreement is a continuation to theagreement signed earlier this year with the lemminkainen group whereby cramo acquired the entire construction machine fleet oflemminkainen talo oy ita ja pohjois suomo and signed asimilar agreement said tatu hauhio managing director ofcramo finland,1,"[2, 41, 91, 11, 7, 2170, 6, 1, 143, 126, 54, 40, 19, 2, 800, 35, 1502, 508, 309, 2, 642, 89, 754, 1169, 1, 3274, 106, 1, 1, 1, 1, 5, 143, 3275, 91]"
positive,at first the contract envisaged the construction of three ferryboats with an option for two more units further confirmed at a total value of mln euro mln,2,"[25, 53, 2, 64, 2588, 2, 89, 3, 310, 1, 19, 34, 286, 9, 124, 95, 244, 214, 1370, 25, 7, 66, 104, 3, 38, 56, 38, 0, 0, 0, 0, 0, 0, 0, 0]"
neutral,in june it sold a percent stake to nordstjernan and the investment group has now taken up the option to acquire eqt s remaining shares,1,"[4, 318, 26, 421, 7, 69, 192, 6, 1675, 5, 2, 92, 35, 18, 167, 998, 55, 2, 286, 6, 526, 2171, 10, 801, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,kesko corporation stock exchange release at kesko corporation and aspo plc today signed an agreement by which aspo acquires the share capital of kaukotelko ltd a subsidiary wholly owned by kesko,2,"[555, 73, 109, 156, 207, 25, 555, 73, 5, 393, 145, 62, 143, 34, 91, 20, 49, 393, 2172, 2, 46, 90, 3, 1907, 174, 7, 213, 2173, 677, 20, 555, 0, 0, 0, 0]"
positive,sponda plc stock exchange release december at eur billion syndicated credit facility for sponda sponda has signed an agreement for a oneyear syndicated credit facility for a total of eur billion,2,"[802, 145, 109, 156, 207, 375, 25, 8, 169, 1503, 346, 235, 9, 802, 802, 18, 143, 34, 91, 9, 7, 3276, 1503, 346, 235, 9, 7, 66, 3, 8, 169, 0, 0, 0, 0]"
neutral,stock exchange announcement july basware share subscriptions with warrants and increase in share capital a total of shares have been subscribed with basware warrant program,1,"[109, 156, 678, 361, 252, 46, 1082, 19, 3277, 5, 94, 4, 46, 90, 7, 66, 3, 52, 50, 57, 679, 19, 252, 3278, 327, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,the contract covers hdo platform ac and cxe optical fttb nodes designed to increase the forward and return path capacity of the transmission networks,2,"[2, 64, 556, 1, 618, 999, 5, 2589, 3279, 1, 1, 887, 6, 94, 2, 888, 5, 759, 1, 222, 3, 2, 2174, 273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
neutral,the new plant is planned to have an electricity generation capacity of up to megawatts mw and the same heat generation capacity,1,"[2, 41, 82, 11, 643, 6, 50, 34, 803, 930, 222, 3, 55, 6, 1, 1000, 5, 2, 136, 1280, 930, 222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,the omx helsinki index was up pct at and the helsinki cap portfolio index was pct higher at,2,"[2, 113, 58, 522, 32, 55, 101, 25, 5, 2, 58, 1001, 552, 522, 32, 101, 480, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
neutral,so the sales growth of cars considerably influence on the tires market,1,"[714, 2, 27, 168, 3, 1504, 1281, 1, 15, 2, 1371, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
neutral,a maximum of new shares can further be subscribed for by exercising b options under the stock option plan,1,"[7, 557, 3, 41, 52, 141, 214, 23, 679, 9, 20, 2175, 715, 619, 151, 2, 109, 286, 398, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
neutral,as a result of the share issue the number of the company s shares increases by shares and the share capital by a total of eur,1,"[21, 7, 128, 3, 2, 46, 328, 2, 155, 3, 2, 13, 10, 52, 1908, 20, 52, 5, 2, 46, 90, 20, 7, 66, 3, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
neutral,finnish real estate investor sponda plc said on wednesday march that it has signed agreements with danske bank as helsinki branch for a year eurm credit facility and with ilmarinen mutual pension insurance company for a year eurm credit facility,1,"[24, 335, 351, 644, 802, 145, 22, 15, 484, 211, 29, 26, 18, 143, 716, 19, 1083, 74, 21, 58, 1170, 9, 7, 40, 103, 346, 235, 5, 19, 3280, 2590, 804, 348, 13, 9]"
neutral,on the route between helsinki in finland and tallinn in estonia cargo volumes increased by while cargo volumes between finland and sweden fell by,1,"[15, 2, 997, 186, 58, 4, 33, 5, 1073, 4, 440, 641, 843, 88, 20, 152, 641, 843, 186, 33, 5, 248, 200, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
neutral,other measures included increasing synergies and economies of scale within the grimaldi group and personnel adjustments divestments and redelivery of excess tonnage,1,"[83, 399, 620, 1171, 2176, 5, 1, 3, 1676, 616, 2, 1282, 35, 5, 296, 1909, 1, 5, 1, 3, 1505, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,rinkuskiai raised the sales by percent to million liters while the sales of kauno alus grew by percent to liters,2,"[3281, 878, 2, 27, 20, 69, 6, 28, 640, 152, 2, 27, 3, 3282, 2177, 336, 20, 69, 6, 640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
neutral,telecomworldwire april tj group plc sells stake in morning digital design oy finnish it company tj group plc said on friday april that it had signed an agreement on selling its shares of morning digital design oy to edita oyj,1,"[3283, 254, 2178, 35, 145, 1910, 192, 4, 1506, 558, 203, 106, 24, 26, 13, 2178, 35, 145, 22, 15, 349, 254, 29, 26, 137, 143, 34, 91, 15, 844, 16, 52, 3, 1506, 558]"
positive,telecomworldwire april tj group plc sells stake in morning digital design oy finnish it company tj group plc said on friday april that it had signed an agreement on selling its shares of morning digital design oy to edita oyj,2,"[3283, 254, 2178, 35, 145, 1910, 192, 4, 1506, 558, 203, 106, 24, 26, 13, 2178, 35, 145, 22, 15, 349, 254, 29, 26, 137, 143, 34, 91, 15, 844, 16, 52, 3, 1506, 558]"
neutral,the new series a shares will become subject to trading on the helsinki stock exchange s main list together with the old series a shares on july,1,"[2, 41, 1172, 7, 52, 12, 621, 1372, 6, 680, 15, 2, 58, 109, 156, 10, 464, 1173, 931, 19, 2, 1283, 1172, 7, 52, 15, 361, 0, 0, 0, 0, 0, 0, 0, 0]"
neutral,the fuel purchase contracts have been signed with three months delivery from this september to november,1,"[2, 1002, 391, 466, 50, 57, 143, 19, 310, 176, 415, 14, 54, 171, 6, 297, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
neutral,tiimari operates stores in six countries including its core finnish market and generated a turnover of mln eur in,1,"[889, 559, 622, 4, 527, 177, 157, 16, 793, 24, 51, 5, 590, 7, 298, 3, 38, 8, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,under this agreement biohit becomes a focus supplier of pipettors and disposable pipettor tips to vwr customers throughout europe,2,"[151, 54, 91, 798, 2591, 7, 377, 287, 3, 2592, 5, 2593, 1, 2179, 6, 2594, 98, 1507, 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,the combination of all services enabling us to offer a complex and strengthened service chain not only limited to the baltic port connections but also for getting access to the world wide grimaldi network into the mediterranean africa and north america says uwe bakosch,2,"[2, 1911, 3, 107, 48, 1284, 99, 6, 306, 7, 1174, 5, 1912, 85, 359, 102, 485, 1285, 6, 2, 253, 760, 1913, 591, 47, 9, 2180, 681, 6, 2, 210, 1175, 1282, 180, 135]"
neutral,no blindspots coming from vantage point allows investigators to see the whole story in high resolution with no unbroken video,1,"[204, 1, 1373, 14, 1, 1286, 1176, 3286, 6, 932, 2, 441, 2595, 4, 319, 3287, 19, 204, 1, 623, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
